date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
01:44.8,10,2000,1600,10000,12000,85.00%,31.43%,85.00%,85.00%,85.00%,84.61%,86.85%,,,,,,,,,,,,,
22:05.0,1,2000,1600,12000,14000,84.50%,40.06%,84.50%,84.50%,84.50%,84.01%,84.50%,,,,,,,,,,,,,
42:29.0,2,2000,1600,12000,14000,89.00%,30.00%,89.00%,89.00%,89.00%,88.97%,86.75%,,,,,,,,,,,,,
02:32.3,3,2000,1600,12000,14000,85.00%,39.20%,85.00%,85.00%,85.00%,84.96%,86.17%,,,,,,,,,,,,,
24:33.8,4,2000,1600,12000,14000,89.00%,32.05%,89.00%,89.00%,89.00%,88.95%,86.88%,,,,,,,,,,,,,
52:37.2,5,2000,1600,12000,14000,88.50%,30.69%,88.50%,88.50%,88.50%,88.37%,87.20%,,,,,,,,,,,,,
19:58.8,6,2000,1600,12000,14000,86.50%,33.99%,86.50%,86.50%,86.50%,86.42%,87.08%,,,,,,,,,,,,,
47:27.3,7,2000,1600,12000,14000,87.50%,28.07%,87.50%,87.50%,87.50%,87.48%,87.14%,,,,,,,,,,,,,
15:02.1,8,2000,1600,12000,14000,81.50%,76.37%,81.50%,81.50%,81.50%,81.40%,86.44%,,,,,,,,,,,,,
42:30.6,9,2000,1600,12000,14000,85.50%,34.23%,85.50%,85.50%,85.50%,85.09%,86.33%,,,,,,,,,,,,,
09:59.9,10,2000,1600,12000,14000,83.50%,32.72%,83.50%,83.50%,83.50%,83.48%,86.05%,,,,,,,,,,,,,
37:34.4,1,2000,1600,14000,16000,88.50%,31.89%,88.50%,88.50%,88.50%,88.48%,88.50%,,,,,,,,,,,,,
05:06.3,2,2000,1600,14000,16000,90.50%,27.93%,90.50%,90.50%,90.50%,90.46%,89.50%,,,,,,,,,,,,,
32:34.1,3,2000,1600,14000,16000,85.00%,35.59%,85.00%,85.00%,85.00%,84.55%,88.00%,,,,,,,,,,,,,
00:02.6,4,2000,1600,14000,16000,85.00%,35.05%,85.00%,85.00%,85.00%,84.99%,87.25%,,,,,,,,,,,,,
27:29.2,5,2000,1600,14000,16000,88.50%,32.55%,88.50%,88.50%,88.50%,88.42%,87.50%,,,,,,,,,,,,,
54:55.2,6,2000,1600,14000,16000,87.50%,39.65%,87.50%,87.50%,87.50%,87.36%,87.50%,,,,,,,,,,,,,
22:29.6,7,2000,1600,14000,16000,86.00%,34.97%,86.00%,86.00%,86.00%,85.68%,87.29%,,,,,,,,,,,,,
50:15.0,8,2000,1600,14000,16000,89.00%,27.82%,89.00%,89.00%,89.00%,88.95%,87.50%,,,,,,,,,,,,,
17:51.9,9,2000,1600,14000,16000,83.50%,41.26%,83.50%,83.50%,83.50%,82.98%,87.06%,,,,,,,,,,,,,
45:18.6,10,2000,1600,14000,16000,85.50%,42.66%,85.50%,85.50%,85.50%,85.50%,86.90%,,,,,,,,,,,,,
12:59.3,1,2000,1600,16000,18000,81.00%,44.96%,81.00%,81.00%,81.00%,80.03%,81.00%,,,,,,,,,,,,,
40:34.3,2,2000,1600,16000,18000,85.00%,40.10%,85.00%,85.00%,85.00%,84.78%,83.00%,,,,,,,,,,,,,
08:08.6,3,2000,1600,16000,18000,83.50%,43.97%,83.50%,83.50%,83.50%,82.92%,83.17%,,,,,,,,,,,,,
35:40.9,4,2000,1600,16000,18000,87.50%,45.89%,87.50%,87.50%,87.50%,87.43%,84.25%,,,,,,,,,,,,,
03:14.9,5,2000,1600,16000,18000,85.50%,35.95%,85.50%,85.50%,85.50%,85.49%,84.50%,,,,,,,,,,,,,
30:54.7,6,2000,1600,16000,18000,86.00%,43.87%,86.00%,86.00%,86.00%,85.76%,84.75%,,,,,,,,,,,,,
58:59.0,7,2000,1600,16000,18000,85.50%,44.22%,85.50%,85.50%,85.50%,85.47%,84.86%,,,,,,,,,,,,,
26:30.4,8,2000,1600,16000,18000,83.50%,45.19%,83.50%,83.50%,83.50%,83.45%,84.69%,,,,,,,,,,,,,
54:12.1,9,2000,1600,16000,18000,85.50%,45.25%,85.50%,85.50%,85.50%,85.48%,84.78%,,,,,,,,,,,,,
22:17.3,10,2000,1600,16000,18000,86.50%,36.82%,86.50%,86.50%,86.50%,86.42%,84.95%,,,,,,,,,,,,,
49:57.3,1,2000,1600,18000,20000,77.50%,43.21%,77.50%,77.50%,77.50%,77.37%,77.50%,,,,,,,,,,,,,
17:18.9,2,2000,1600,18000,20000,82.50%,45.25%,82.50%,82.50%,82.50%,81.07%,80.00%,,,,,,,,,,,,,
44:51.0,3,2000,1600,18000,20000,88.00%,32.37%,88.00%,88.00%,88.00%,87.90%,82.67%,,,,,,,,,,,,,
12:21.5,4,2000,1600,18000,20000,85.50%,31.74%,85.50%,85.50%,85.50%,85.47%,83.37%,,,,,,,,,,,,,
40:04.2,5,2000,1600,18000,20000,86.50%,29.65%,86.50%,86.50%,86.50%,85.91%,84.00%,,,,,,,,,,,,,
07:34.0,6,2000,1600,18000,20000,83.50%,38.03%,83.50%,83.50%,83.50%,82.62%,83.92%,,,,,,,,,,,,,
35:39.2,7,2000,1600,18000,20000,87.00%,35.88%,87.00%,87.00%,87.00%,86.98%,84.36%,,,,,,,,,,,,,
03:11.9,8,2000,1600,18000,20000,88.50%,29.09%,88.50%,88.50%,88.50%,88.18%,84.87%,,,,,,,,,,,,,
30:46.3,9,2000,1600,18000,20000,85.00%,41.23%,85.00%,85.00%,85.00%,85.00%,84.89%,,,,,,,,,,,,,
58:24.3,10,2000,1600,18000,20000,88.50%,34.19%,88.50%,88.50%,88.50%,88.47%,85.25%,,,,,,,,,,,,,
26:07.0,1,2000,1600,20000,22000,86.50%,28.21%,86.50%,86.50%,86.50%,86.17%,86.50%,,,,,,,,,,,,,
53:45.2,2,2000,1600,20000,22000,88.50%,30.37%,88.50%,88.50%,88.50%,87.94%,87.50%,,,,,,,,,,,,,
21:25.0,3,2000,1600,20000,22000,84.50%,39.34%,84.50%,84.50%,84.50%,84.21%,86.50%,,,,,,,,,,,,,
49:01.1,4,2000,1600,20000,22000,85.50%,42.83%,85.50%,85.50%,85.50%,85.14%,86.25%,,,,,,,,,,,,,
16:35.8,5,2000,1600,20000,22000,82.50%,46.00%,82.50%,82.50%,82.50%,82.50%,85.50%,,,,,,,,,,,,,
