date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
12:37.4,3,500,546,8000,8500,83.00%,42.49%,83.00%,83.00%,83.00%,82.22%,83.33%,,,,,,,,,,,,,
17:24.0,4,500,546,8000,8500,82.00%,45.02%,82.00%,82.00%,82.00%,80.69%,83.00%,,,,,,,,,,,,,
22:18.5,5,500,546,8000,8500,86.00%,31.60%,86.00%,86.00%,86.00%,86.00%,83.60%,,,,,,,,,,,,,
32:13.4,1,500,542,8500,9000,83.00%,35.68%,83.00%,83.00%,83.00%,83.00%,83.00%,,,,,,,,,,,,,
36:57.7,2,500,542,8500,9000,66.00%,95.24%,66.00%,66.00%,66.00%,63.11%,74.50%,,,,,,,,,,,,,
41:41.5,3,500,542,8500,9000,86.00%,35.64%,86.00%,86.00%,86.00%,85.95%,78.33%,,,,,,,,,,,,,
46:24.4,4,500,542,8500,9000,81.00%,43.00%,81.00%,81.00%,81.00%,79.73%,79.00%,,,,,,,,,,,,,
51:10.8,5,500,542,8500,9000,73.00%,86.05%,73.00%,73.00%,73.00%,71.75%,77.80%,,,,,,,,,,,,,
56:00.9,1,500,539,9000,9500,76.00%,49.02%,76.00%,76.00%,76.00%,73.96%,76.00%,,,,,,,,,,,,,
00:45.3,2,500,539,9000,9500,83.00%,42.56%,83.00%,83.00%,83.00%,83.00%,79.50%,,,,,,,,,,,,,
05:33.3,3,500,539,9000,9500,82.00%,39.51%,82.00%,82.00%,82.00%,81.88%,80.33%,,,,,,,,,,,,,
10:18.1,4,500,539,9000,9500,77.00%,46.22%,77.00%,77.00%,77.00%,76.98%,79.50%,,,,,,,,,,,,,
15:04.8,5,500,539,9000,9500,82.00%,38.28%,82.00%,82.00%,82.00%,81.64%,80.00%,,,,,,,,,,,,,
19:56.8,1,500,543,9500,10000,88.00%,38.37%,88.00%,88.00%,88.00%,87.82%,88.00%,,,,,,,,,,,,,
24:40.1,2,500,543,9500,10000,86.00%,32.39%,86.00%,86.00%,86.00%,85.99%,87.00%,,,,,,,,,,,,,
29:26.2,3,500,543,9500,10000,86.00%,33.60%,86.00%,86.00%,86.00%,85.99%,86.67%,,,,,,,,,,,,,
34:13.2,4,500,543,9500,10000,86.00%,32.79%,86.00%,86.00%,86.00%,85.63%,86.50%,,,,,,,,,,,,,
39:00.3,5,500,543,9500,10000,88.00%,22.93%,88.00%,88.00%,88.00%,87.88%,86.80%,,,,,,,,,,,,,
43:49.8,1,500,539,10000,10500,89.00%,32.08%,89.00%,89.00%,89.00%,89.00%,89.00%,,,,,,,,,,,,,
48:36.1,2,500,539,10000,10500,66.00%,77.76%,66.00%,66.00%,66.00%,63.11%,77.50%,,,,,,,,,,,,,
53:21.8,3,500,539,10000,10500,86.00%,42.98%,86.00%,86.00%,86.00%,85.98%,80.33%,,,,,,,,,,,,,
58:05.4,4,500,539,10000,10500,83.00%,42.24%,83.00%,83.00%,83.00%,82.92%,81.00%,,,,,,,,,,,,,
02:50.3,5,500,539,10000,10500,85.00%,36.71%,85.00%,85.00%,85.00%,84.99%,81.80%,,,,,,,,,,,,,
07:40.2,1,500,541,10500,11000,89.00%,23.26%,89.00%,89.00%,89.00%,89.00%,89.00%,,,,,,,,,,,,,
12:25.6,2,500,541,10500,11000,90.00%,25.34%,90.00%,90.00%,90.00%,89.94%,89.50%,,,,,,,,,,,,,
17:11.0,3,500,541,10500,11000,89.00%,30.82%,89.00%,89.00%,89.00%,88.99%,89.33%,,,,,,,,,,,,,
21:56.2,4,500,541,10500,11000,89.00%,35.88%,89.00%,89.00%,89.00%,89.00%,89.25%,,,,,,,,,,,,,
26:42.0,5,500,541,10500,11000,91.00%,25.41%,91.00%,91.00%,91.00%,90.89%,89.60%,,,,,,,,,,,,,
31:30.8,1,500,536,11000,11500,93.00%,22.53%,93.00%,93.00%,93.00%,92.84%,93.00%,,,,,,,,,,,,,
36:13.9,2,500,536,11000,11500,85.00%,40.98%,85.00%,85.00%,85.00%,83.82%,89.00%,,,,,,,,,,,,,
40:57.2,3,500,536,11000,11500,89.00%,28.55%,89.00%,89.00%,89.00%,88.75%,89.00%,,,,,,,,,,,,,
45:40.8,4,500,536,11000,11500,77.00%,53.54%,77.00%,77.00%,77.00%,76.81%,86.00%,,,,,,,,,,,,,
50:24.3,5,500,536,11000,11500,80.00%,39.19%,80.00%,80.00%,80.00%,77.72%,84.80%,,,,,,,,,,,,,
55:18.6,1,500,553,11500,12000,85.00%,35.61%,85.00%,85.00%,85.00%,84.65%,85.00%,,,,,,,,,,,,,
00:08.0,2,500,553,11500,12000,88.00%,29.95%,88.00%,88.00%,88.00%,88.00%,86.50%,,,,,,,,,,,,,
04:58.7,3,500,553,11500,12000,81.00%,39.71%,81.00%,81.00%,81.00%,79.73%,84.67%,,,,,,,,,,,,,
09:49.1,4,500,553,11500,12000,88.00%,27.47%,88.00%,88.00%,88.00%,88.00%,85.50%,,,,,,,,,,,,,
14:41.0,5,500,553,11500,12000,89.00%,22.88%,89.00%,89.00%,89.00%,88.91%,86.20%,,,,,,,,,,,,,
19:36.6,1,500,556,12000,12500,81.00%,42.65%,81.00%,81.00%,81.00%,80.29%,81.00%,,,,,,,,,,,,,
24:27.6,2,500,556,12000,12500,90.00%,32.89%,90.00%,90.00%,90.00%,89.98%,85.50%,,,,,,,,,,,,,
29:19.8,3,500,556,12000,12500,83.00%,53.66%,83.00%,83.00%,83.00%,82.86%,84.67%,,,,,,,,,,,,,
34:10.8,4,500,556,12000,12500,88.00%,33.66%,88.00%,88.00%,88.00%,87.98%,85.50%,,,,,,,,,,,,,
39:02.2,5,500,556,12000,12500,87.00%,33.01%,87.00%,87.00%,87.00%,86.89%,85.80%,,,,,,,,,,,,,
43:53.0,1,500,546,12500,13000,87.00%,27.41%,87.00%,87.00%,87.00%,86.61%,87.00%,,,,,,,,,,,,,
48:39.6,2,500,546,12500,13000,85.00%,33.81%,85.00%,85.00%,85.00%,84.31%,86.00%,,,,,,,,,,,,,
