start,end,normal_acc,aug_acc
37000,37500,55.30%,56.80%
37500,38000,60.80%,61.30%
38000,38500,69.90%,72.40%
38500,39000,65.50%,69.00%
39000,39500,68.50%,68.90%
39500,40000,70.20%,71.70%
40000,40500,65.90%,68.40%
40500,41000,64.50%,70.80%
41000,41500,72.80%,76.40%
41500,42000,71.90%,72.70%
42000,42500,70.20%,75.30%
42500,43000,69.10%,65.30%
43000,43500,68.70%,71.00%
43500,44000,73.80%,74.90%
44000,44500,72.60%,73.40%
44500,45000,72.00%,76.30%
45000,45500,68.80%,70.50%
45500,46000,70.80%,71.00%
46000,46500,65.10%,70.20%
46500,47000,76.20%,76.70%
47000,47500,68.60%,71.30%
47500,48000,68.00%,67.80%
48000,48500,65.40%,66.10%
48500,49000,67.70%,68.70%
49000,49500,68.80%,68.00%
49500,50000,73.10%,70.50%
0,1000,78.80%,78.45%
1000,2000,73.80%,74.50%
2000,3000,68.00%,66.55%
3000,4000,72.50%,70.50%
4000,5000,73.00%,73.50%
5000,6000,72.80%,70.60%
6000,7000,67.50%,68.05%
7000,8000,77.90%,78.50%
8000,9000,66.55%,65.90%
9000,10000,75.00%,73.55%
10000,11000,76.25%,73.10%
11000,12000,68.45%,70.30%
12000,13000,76.80%,77.35%
13000,14000,71.60%,70.50%
14000,15000,80.35%,79.75%
15000,16000,70.70%,71.00%
16000,17000,73.55%,71.70%
17000,18000,67.20%,66.75%
18000,19000,75.50%,72.85%
19000,20000,73.50%,74.55%
20000,21000,68.30%,67.50%
21000,22000,72.00%,76.10%
22000,23000,73.30%,72.35%
23000,24000,73.40%,70.60%
24000,25000,76.80%,77.45%
25000,26000,73.20%,72.65%
26000,27000,75.55%,71.60%
27000,28000,74.40%,76.50%
28000,29000,77.40%,77.25%
29000,30000,76.50%,74.95%
30000,31000,66.00%,69.60%
31000,32000,74.30%,74.05%
32000,33000,76.15%,74.65%
33000,34000,71.80%,69.25%
34000,35000,72.30%,72.40%
35000,36000,66.75%,67.95%
36000,37000,75.65%,74.00%
37000,38000,70.40%,71.40%
38000,39000,74.25%,69.30%
39000,40000,74.70%,77.30%
40000,41000,74.40%,71.65%
41000,42000,72.05%,72.45%
42000,43000,76.95%,72.75%
43000,44000,74.15%,72.70%
44000,45000,77.75%,75.65%
45000,46000,70.45%,75.10%
46000,47000,75.20%,75.15%
47000,48000,78.65%,75.75%
48000,49000,74.80%,73.00%
49000,50000,78.95%,75.90%
0,2000,80.68%,80.03%
2000,4000,72.33%,73.27%
4000,6000,77.50%,76.42%
6000,8000,77.55%,77.45%
8000,10000,75.55%,76.15%
10000,12000,75.30%,71.92%
12000,14000,77.48%,76.92%
14000,16000,75.12%,75.37%
16000,18000,74.50%,72.35%
18000,20000,73.98%,73.78%
20000,22000,74.88%,70.80%
22000,24000,71.63%,72.20%
24000,26000,76.47%,76.77%
26000,28000,75.70%,76.90%
28000,30000,75.67%,75.52%
30000,32000,77.10%,75.82%
32000,34000,67.23%,68.77%
34000,36000,76.55%,75.67%
36000,38000,72.10%,73.25%
38000,40000,77.43%,75.92%
40000,42000,76.02%,76.07%
42000,44000,78.25%,78.30%
44000,46000,79.93%,79.33%
46000,48000,73.23%,73.18%
48000,50000,71.55%,72.08%
0,5000,78.88%,75.54%
5000,10000,75.12%,74.11%
10000,15000,79.27%,78.84%
15000,20000,76.47%,76.99%
20000,25000,77.85%,78.51%
25000,30000,78.76%,77.80%
30000,35000,77.92%,78.15%
35000,40000,76.75%,77.18%
40000,45000,77.34%,76.46%
45000,50000,78.93%,78.41%
0,10000,78.54%,75.86%
10000,20000,79.70%,79.96%
20000,30000,77.60%,78.69%
30000,40000,79.36%,77.45%
40000,50000,78.40%,77.87%
0,12500,80.18%,75.92%
12500,25000,79.02%,78.62%
25000,37500,80.09%,79.74%
37500,50000,79.32%,78.62%
0,25000,80.27%,80.53%
25000,50000,79.60%,80.08%
0,50000,80.07%,80.23%
