start,end,normal_acc,aug_acc
36000,36500,73.90%,72.40%
36500,37000,70.70%,72.10%
37000,37500,55.30%,58.00%
37500,38000,60.80%,62.50%
38000,38500,69.90%,73.00%
38500,39000,65.50%,66.30%
39000,39500,68.50%,70.20%
39500,40000,70.20%,72.10%
40000,40500,65.90%,66.50%
40500,41000,64.50%,70.60%
41000,41500,72.80%,77.40%
41500,42000,71.90%,74.00%
42000,42500,70.20%,70.40%
42500,43000,69.10%,69.30%
43000,43500,68.70%,72.40%
43500,44000,73.80%,73.90%
44000,44500,72.60%,75.20%
44500,45000,72.00%,76.20%
45000,45500,68.80%,72.40%
45500,46000,70.80%,71.50%
46000,46500,65.10%,66.80%
46500,47000,76.20%,77.60%
47000,47500,68.60%,73.90%
47500,48000,68.00%,64.70%
48000,48500,65.40%,66.00%
48500,49000,67.70%,70.20%
49000,49500,68.80%,68.00%
49500,50000,73.10%,70.20%
0,1000,78.80%,79.85%
1000,2000,73.80%,74.35%
2000,3000,68.00%,67.35%
3000,4000,72.50%,71.60%
4000,5000,73.00%,72.70%
5000,6000,72.80%,71.30%
6000,7000,67.50%,69.30%
7000,8000,77.90%,78.20%
8000,9000,66.55%,69.15%
9000,10000,75.00%,73.35%
10000,11000,76.25%,76.30%
11000,12000,68.45%,70.30%
12000,13000,76.80%,78.65%
13000,14000,71.60%,70.65%
14000,15000,80.35%,80.40%
15000,16000,70.70%,70.30%
16000,17000,73.55%,73.45%
17000,18000,67.20%,66.85%
18000,19000,75.50%,74.35%
19000,20000,73.50%,74.55%
20000,21000,68.30%,67.70%
21000,22000,72.00%,75.50%
22000,23000,73.30%,73.20%
23000,24000,73.40%,71.20%
24000,25000,76.80%,77.00%
25000,26000,73.20%,73.85%
26000,27000,75.55%,71.45%
27000,28000,74.40%,75.35%
28000,29000,77.40%,78.65%
29000,30000,76.50%,77.55%
30000,31000,66.00%,68.10%
31000,32000,74.30%,73.55%
32000,33000,76.15%,76.55%
33000,34000,71.80%,66.60%
34000,35000,72.30%,75.60%
35000,36000,66.75%,69.05%
36000,37000,75.65%,73.30%
37000,38000,70.40%,70.75%
38000,39000,74.25%,70.70%
39000,40000,74.70%,77.05%
40000,41000,74.40%,72.05%
41000,42000,72.05%,73.25%
42000,43000,76.95%,71.60%
43000,44000,74.15%,74.10%
44000,45000,77.75%,76.15%
45000,46000,70.45%,74.00%
46000,47000,75.20%,75.60%
47000,48000,78.65%,77.55%
48000,49000,74.80%,75.20%
49000,50000,78.95%,79.20%
0,2000,80.68%,80.38%
2000,4000,72.33%,73.17%
4000,6000,77.50%,76.52%
6000,8000,77.55%,77.95%
8000,10000,75.55%,75.20%
10000,12000,75.30%,73.48%
12000,14000,77.48%,78.20%
14000,16000,75.12%,73.73%
16000,18000,74.50%,72.58%
18000,20000,73.98%,76.15%
20000,22000,74.88%,71.63%
22000,24000,71.63%,74.10%
24000,26000,76.47%,77.60%
26000,28000,75.70%,76.72%
28000,30000,75.67%,75.15%
30000,32000,77.10%,76.87%
32000,34000,67.23%,69.27%
34000,36000,76.55%,75.65%
36000,38000,72.10%,72.25%
38000,40000,77.43%,75.50%
40000,42000,76.02%,74.42%
42000,44000,78.25%,77.65%
44000,46000,79.93%,80.25%
46000,48000,73.23%,73.23%
48000,50000,71.55%,71.47%
0,5000,78.88%,73.61%
5000,10000,75.12%,74.12%
10000,15000,79.27%,76.74%
15000,20000,76.47%,76.88%
20000,25000,77.85%,78.35%
25000,30000,78.76%,78.95%
30000,35000,77.92%,77.10%
35000,40000,76.75%,77.11%
40000,45000,77.34%,77.35%
45000,50000,78.93%,77.70%
0,10000,78.54%,76.00%
10000,20000,79.70%,79.86%
20000,30000,77.60%,79.18%
30000,40000,79.36%,78.68%
40000,50000,78.40%,78.46%
0,12500,80.18%,75.39%
12500,25000,79.02%,79.37%
25000,37500,80.09%,80.56%
37500,50000,79.32%,78.58%
0,25000,80.27%,81.49%
25000,50000,79.60%,80.02%
0,50000,80.07%,81.27%
