start,end,normal_acc,aug_acc
29000,30000,85.00%,83.30%
30000,31000,79.60%,82.60%
31000,32000,75.00%,77.40%
32000,33000,83.20%,85.10%
33000,34000,85.80%,88.30%
34000,35000,83.20%,85.30%
35000,36000,85.60%,82.40%
36000,37000,89.20%,86.40%
37000,38000,86.20%,86.30%
38000,39000,85.60%,83.70%
39000,40000,87.00%,87.90%
40000,41000,86.20%,82.60%
41000,42000,89.60%,88.60%
42000,43000,86.00%,88.20%
43000,44000,81.60%,82.20%
44000,45000,86.00%,85.20%
45000,46000,87.00%,84.90%
46000,47000,83.00%,88.00%
47000,48000,85.40%,86.10%
48000,49000,85.80%,83.60%
49000,50000,89.00%,87.60%
0,2000,89.00%,89.15%
2000,4000,87.70%,85.60%
4000,6000,89.70%,85.30%
6000,8000,86.60%,85.70%
8000,10000,86.70%,84.95%
10000,12000,87.20%,87.15%
12000,14000,87.50%,83.25%
14000,16000,84.50%,87.55%
16000,18000,84.00%,84.75%
18000,20000,85.50%,85.25%
20000,22000,86.00%,85.10%
22000,24000,87.70%,84.60%
24000,26000,88.80%,83.00%
26000,28000,88.20%,87.55%
28000,30000,85.60%,81.85%
30000,32000,84.10%,88.15%
32000,34000,86.40%,85.25%
34000,36000,85.80%,83.35%
36000,38000,88.10%,83.95%
38000,40000,89.10%,86.65%
40000,42000,85.80%,88.00%
42000,44000,89.20%,85.55%
44000,46000,90.60%,86.95%
46000,48000,89.80%,89.50%
48000,50000,89.56%,85.85%
0,5000,91.28%,89.82%
5000,10000,88.60%,87.26%
10000,15000,87.72%,88.52%
15000,20000,87.68%,87.74%
20000,25000,88.44%,87.34%
25000,30000,89.16%,88.38%
30000,35000,88.80%,87.18%
35000,40000,91.32%,86.70%
40000,45000,89.76%,87.68%
45000,50000,89.48%,87.98%
0,10000,89.08%,88.71%
10000,20000,90.38%,87.84%
20000,30000,89.44%,88.28%
30000,40000,87.58%,89.04%
40000,50000,88.74%,89.58%
0,25000,88.59%,90.54%
25000,50000,90.03%,90.27%
0,12500,89.26%,89.98%
12500,25000,90.67%,89.31%
25000,37500,91.02%,89.09%
37500,50000,86.32%,87.70%
0,50000,86.32%,90.85%
