start,end,normal_acc,aug_acc
30000,32000,76.85%,81.62%
32000,34000,68.15%,72.05%
34000,36000,77.73%,78.25%
36000,38000,73.13%,79.73%
38000,40000,78.38%,82.37%
40000,42000,75.22%,78.90%
42000,44000,78.33%,81.18%
44000,46000,77.60%,81.70%
46000,48000,74.10%,79.15%
48000,50000,72.88%,79.10%
0,5000,84.87%,79.94%
5000,10000,81.72%,79.90%
10000,15000,84.05%,85.52%
15000,20000,82.81%,83.80%
20000,25000,84.66%,85.29%
25000,30000,81.80%,83.28%
30000,35000,82.63%,82.46%
35000,40000,83.31%,84.15%
40000,45000,82.59%,83.45%
45000,50000,83.26%,82.15%
0,10000,85.57%,81.50%
10000,20000,85.47%,86.04%
20000,30000,83.70%,84.03%
30000,40000,84.54%,85.03%
40000,50000,84.11%,82.64%
0,12500,87.33%,81.27%
12500,25000,85.88%,86.04%
25000,37500,85.68%,86.22%
37500,50000,84.51%,83.32%
0,25000,87.44%,86.98%
25000,50000,85.18%,84.59%
0,50000,88.84%,86.76%
