start,end,normal_acc,aug_acc
17000,18000,66.95%,67.00%
18000,19000,72.30%,73.55%
19000,20000,70.35%,71.05%
20000,21000,66.50%,66.10%
21000,22000,71.05%,68.90%
22000,23000,68.50%,70.70%
23000,24000,66.85%,66.20%
24000,25000,72.10%,70.90%
25000,26000,68.85%,68.15%
26000,27000,74.55%,73.85%
27000,28000,71.40%,69.90%
28000,29000,71.45%,71.60%
29000,30000,70.90%,68.40%
30000,31000,67.05%,67.10%
31000,32000,70.95%,72.50%
32000,33000,70.80%,70.30%
33000,34000,68.65%,66.95%
34000,35000,66.85%,65.85%
35000,36000,64.20%,64.05%
36000,37000,71.65%,70.95%
37000,38000,70.30%,68.20%
38000,39000,67.00%,67.10%
39000,40000,70.30%,71.90%
40000,41000,67.10%,66.20%
41000,42000,68.85%,68.05%
42000,43000,73.10%,71.70%
43000,44000,70.00%,68.00%
44000,45000,70.60%,72.70%
45000,46000,66.20%,66.30%
46000,47000,68.45%,66.40%
47000,48000,72.10%,70.15%
48000,49000,70.95%,72.55%
49000,50000,71.40%,73.45%
0,2000,78.17%,78.53%
2000,4000,74.47%,74.60%
4000,6000,77.12%,78.03%
6000,8000,78.20%,77.42%
8000,10000,75.53%,74.57%
10000,12000,76.03%,75.82%
12000,14000,74.70%,75.80%
14000,16000,73.75%,73.35%
16000,18000,75.87%,75.95%
18000,20000,77.57%,77.27%
20000,22000,74.58%,74.83%
22000,24000,75.45%,75.18%
24000,26000,78.10%,77.48%
26000,28000,79.75%,78.25%
28000,30000,75.67%,75.40%
30000,32000,76.85%,77.53%
32000,34000,68.15%,68.35%
34000,36000,77.73%,77.43%
36000,38000,73.13%,71.47%
38000,40000,78.38%,77.85%
40000,42000,75.22%,76.05%
42000,44000,78.33%,79.33%
44000,46000,77.60%,75.98%
46000,48000,74.10%,73.35%
48000,50000,72.88%,73.32%
0,5000,84.87%,84.65%
5000,10000,81.72%,81.15%
10000,15000,84.05%,83.82%
15000,20000,82.81%,82.35%
20000,25000,84.66%,84.06%
25000,30000,81.80%,81.95%
30000,35000,82.63%,82.59%
35000,40000,83.31%,83.01%
40000,45000,82.59%,82.88%
45000,50000,83.26%,82.95%
0,10000,85.57%,85.34%
10000,20000,85.47%,85.33%
20000,30000,83.70%,83.75%
30000,40000,84.54%,84.55%
40000,50000,84.11%,83.94%
0,12500,87.44%,87.36%
12500,25000,85.18%,85.94%
25000,37500,88.84%,85.33%
37500,50000,87.33%,84.70%
0,25000,85.88%,87.29%
25000,50000,85.68%,85.15%
0,50000,84.51%,88.79%
