start,end,normal_acc,aug_acc
45000,50000,89.76%,89.90%
0,10000,90.24%,89.24%
10000,20000,90.28%,90.77%
20000,30000,90.96%,90.88%
30000,40000,88.96%,90.15%
40000,50000,89.60%,90.38%
0,12500,90.11%,90.05%
12500,25000,91.81%,90.67%
25000,37500,91.97%,90.78%
37500,50000,91.42%,91.22%
0,25000,83.72%,91.89%
25000,50000,92.23%,91.30%
0,50000,92.92%,92.09%
