start,end,normal_acc,aug_acc
34000,36000,67.15%,75.80%
36000,38000,69.35%,74.10%
38000,40000,67.87%,75.50%
40000,42000,65.30%,76.40%
42000,44000,69.77%,76.52%
44000,46000,72.70%,76.87%
46000,48000,66.58%,73.20%
48000,50000,69.87%,75.00%
0,5000,78.95%,81.19%
5000,10000,76.28%,79.36%
10000,15000,78.14%,79.71%
15000,20000,79.97%,80.62%
20000,25000,80.53%,81.93%
25000,30000,78.92%,80.80%
30000,35000,77.16%,79.23%
35000,40000,78.23%,81.02%
40000,45000,78.39%,81.71%
45000,50000,77.28%,78.26%
0,10000,80.58%,81.80%
10000,20000,81.57%,81.43%
20000,30000,82.49%,83.16%
30000,40000,81.32%,82.07%
40000,50000,80.80%,81.61%
0,12500,80.97%,81.86%
12500,25000,81.24%,81.66%
25000,37500,82.61%,82.46%
37500,50000,81.52%,81.66%
0,25000,84.07%,84.20%
25000,50000,84.39%,84.08%
0,50000,84.85%,84.69%
