start,end,normal_acc,aug_acc
33000,34000,67.50%,69.60%
34000,35000,70.00%,67.85%
35000,36000,67.00%,69.40%
36000,37000,71.00%,66.45%
37000,38000,70.50%,70.70%
38000,39000,68.00%,68.25%
39000,40000,58.00%,68.55%
40000,41000,65.00%,61.60%
41000,42000,70.50%,66.35%
42000,43000,73.50%,73.00%
43000,44000,68.50%,70.25%
44000,45000,66.50%,69.25%
45000,46000,70.50%,62.05%
46000,47000,60.00%,67.90%
47000,48000,63.00%,65.20%
48000,49000,64.00%,64.80%
49000,50000,71.25%,64.75%
0,2000,68.25%,71.30%
2000,4000,72.50%,69.75%
4000,6000,70.00%,72.27%
6000,8000,71.75%,67.65%
8000,10000,73.50%,70.15%
10000,12000,76.75%,69.63%
12000,14000,70.75%,75.85%
14000,16000,72.75%,68.38%
16000,18000,69.50%,70.82%
18000,20000,72.75%,68.40%
20000,22000,72.50%,72.50%
22000,24000,70.00%,72.85%
24000,26000,68.50%,67.63%
26000,28000,67.50%,67.22%
28000,30000,70.75%,68.53%
30000,32000,71.25%,73.42%
32000,34000,67.25%,68.50%
34000,36000,73.00%,71.90%
36000,38000,71.50%,71.88%
38000,40000,64.25%,69.95%
40000,42000,68.75%,67.32%
42000,44000,73.50%,70.47%
44000,46000,69.00%,68.50%
46000,48000,74.50%,68.35%
48000,50000,74.00%,69.70%
0,5000,71.70%,74.03%
5000,10000,71.70%,70.97%
10000,15000,74.60%,73.61%
15000,20000,76.30%,72.82%
20000,25000,75.10%,74.58%
25000,30000,76.10%,72.10%
30000,35000,74.10%,73.25%
35000,40000,73.70%,73.20%
40000,45000,76.50%,72.46%
45000,50000,74.05%,73.21%
0,10000,75.15%,74.65%
10000,20000,76.20%,73.79%
20000,30000,75.70%,75.81%
30000,40000,74.00%,74.93%
40000,50000,75.04%,73.98%
0,12500,74.28%,73.69%
12500,25000,76.72%,74.96%
25000,37500,76.36%,74.42%
37500,50000,76.68%,76.18%
0,25000,77.42%,76.83%
25000,50000,75.03%,76.92%
0,50000,76.33%,77.63%
