start,end,normal_acc,aug_acc
25000,26000,89.80%,87.30%
26000,27000,84.40%,87.20%
27000,28000,81.80%,87.00%
28000,29000,90.60%,88.60%
29000,30000,88.00%,86.80%
30000,31000,90.80%,86.70%
31000,32000,93.60%,84.30%
32000,33000,87.00%,83.80%
33000,34000,87.60%,86.50%
34000,35000,81.00%,86.00%
35000,36000,87.80%,83.40%
36000,37000,87.40%,84.70%
37000,38000,86.60%,85.20%
38000,39000,84.40%,84.80%
39000,40000,85.40%,85.50%
40000,41000,82.40%,82.80%
41000,42000,78.00%,82.60%
42000,43000,87.20%,84.00%
43000,44000,77.80%,87.90%
44000,45000,85.40%,84.40%
45000,46000,85.20%,85.20%
46000,47000,85.00%,85.30%
47000,48000,84.40%,82.70%
48000,49000,78.20%,87.50%
49000,50000,81.20%,82.10%
0,2000,85.50%,87.40%
2000,4000,86.80%,87.40%
4000,6000,90.80%,88.15%
6000,8000,86.60%,86.60%
8000,10000,87.70%,87.40%
10000,12000,85.70%,87.85%
12000,14000,85.90%,88.05%
14000,16000,85.10%,88.45%
16000,18000,87.20%,87.20%
18000,20000,89.80%,86.50%
20000,22000,87.10%,89.20%
22000,24000,91.30%,87.00%
24000,26000,84.80%,90.50%
26000,28000,87.30%,85.65%
28000,30000,85.10%,88.60%
30000,32000,86.20%,90.90%
32000,34000,85.40%,86.85%
34000,36000,87.00%,87.35%
36000,38000,83.20%,85.70%
38000,40000,88.60%,88.15%
40000,42000,83.30%,86.45%
42000,44000,86.90%,88.70%
44000,46000,86.30%,83.40%
46000,48000,84.80%,85.70%
48000,50000,87.30%,87.65%
0,5000,91.56%,89.66%
5000,10000,88.72%,88.52%
10000,15000,88.20%,89.00%
15000,20000,89.92%,89.10%
20000,25000,86.64%,86.30%
25000,30000,88.04%,89.18%
30000,35000,86.80%,86.68%
35000,40000,82.20%,87.94%
40000,45000,88.68%,88.08%
45000,50000,89.76%,88.18%
0,10000,90.24%,90.91%
10000,20000,90.28%,89.56%
20000,30000,90.96%,90.51%
30000,40000,88.96%,88.73%
40000,50000,89.60%,90.11%
0,12500,90.11%,90.60%
12500,25000,91.81%,90.25%
25000,37500,91.97%,89.54%
37500,50000,91.42%,89.18%
0,25000,83.72%,91.52%
25000,50000,92.23%,90.81%
0,50000,92.92%,92.14%
